tweet_id,timestamp,source,text,rating,name,Day,Month,Year,Time,weekday,dog_stage,retweet_count,favorite_count,jpg_url,Dog_Breed_predicted
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,Tilly,1,8,2017,00:17:27,Tues,,6150,32673,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,Archie,31,7,2017,00:18:03,Mon,,4069,24587,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,Franklin,29,7,2017,16:00:24,Sat,,9165,39590,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,,28,7,2017,00:22:40,Fri,,18471,64215,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,Zoey,27,7,2017,16:25:51,Thurs,,4189,27318,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish Terrier
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,Cassie,26,7,2017,15:59:51,Weds,Doggo,7219,31344,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,Koda,26,7,2017,00:31:25,Weds,,7179,30124,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,,25,7,2017,01:55:32,Tues,Puppo,9843,47243,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,Ted,25,7,2017,00:10:02,Tues,,4445,26666,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French Bulldog
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,Stuart,24,7,2017,17:02:04,Mon,Puppo,2202,14845,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden Retriever
